"","Gen","variable","value","FracOfAll"
"1",1,"10",0,0
"11",11,"10",0,0
"21",21,"10",0,0
"31",31,"10",1,0.000546448087431694
"41",41,"10",4,0.00222098833981122
"51",51,"10",0,0
"61",61,"10",0,0
"71",71,"10",0,0
"81",81,"10",0,0
"91",91,"10",0,0
"101",101,"10",0,0
"111",111,"10",0,0
"121",121,"10",0,0
"131",131,"10",0,0
"141",141,"10",0,0
"151",151,"10",0,0
"161",161,"10",0,0
"171",171,"10",0,0
"181",181,"10",0,0
"191",191,"10",0,0
"201",201,"10",0,0
"211",211,"10",0,0
"221",221,"10",0,0
"231",231,"10",0,0
"241",241,"10",0,0
"251",251,"10",0,0
"261",261,"10",0,0
"271",271,"10",0,0
"281",281,"10",0,0
"291",291,"10",0,0
"300",300,"10",0,0
"302",1,"101",0,0
"312",11,"101",0,0
"322",21,"101",0,0
"332",31,"101",0,0
"342",41,"101",0,0
"352",51,"101",0,0
"362",61,"101",0,0
"372",71,"101",0,0
"382",81,"101",0,0
"392",91,"101",0,0
"402",101,"101",0,0
"412",111,"101",0,0
"422",121,"101",0,0
"432",131,"101",0,0
"442",141,"101",0,0
"452",151,"101",0,0
"462",161,"101",0,0
"472",171,"101",0,0
"482",181,"101",0,0
"492",191,"101",0,0
"502",201,"101",0,0
"512",211,"101",0,0
"522",221,"101",0,0
"532",231,"101",0,0
"542",241,"101",0,0
"552",251,"101",0,0
"562",261,"101",0,0
"572",271,"101",0,0
"582",281,"101",0,0
"592",291,"101",0,0
"601",300,"101",0,0
"603",1,"1025",0,0
"613",11,"1025",0,0
"623",21,"1025",0,0
"633",31,"1025",0,0
"643",41,"1025",0,0
"653",51,"1025",0,0
"663",61,"1025",0,0
"673",71,"1025",0,0
"683",81,"1025",0,0
"693",91,"1025",0,0
"703",101,"1025",0,0
"713",111,"1025",0,0
"723",121,"1025",0,0
"733",131,"1025",0,0
"743",141,"1025",0,0
"753",151,"1025",0,0
"763",161,"1025",0,0
"773",171,"1025",0,0
"783",181,"1025",0,0
"793",191,"1025",0,0
"803",201,"1025",0,0
"813",211,"1025",0,0
"823",221,"1025",0,0
"833",231,"1025",0,0
"843",241,"1025",0,0
"853",251,"1025",0,0
"863",261,"1025",0,0
"873",271,"1025",0,0
"883",281,"1025",0,0
"893",291,"1025",0,0
"902",300,"1025",0,0
"904",1,"11",0,0
"914",11,"11",0,0
"924",21,"11",0,0
"934",31,"11",2,0.00109289617486339
"944",41,"11",1,0.000555247084952804
"954",51,"11",7,0.00376546530392684
"964",61,"11",3,0.00170357751277683
"974",71,"11",3,0.00177725118483412
"984",81,"11",5,0.00265957446808511
"994",91,"11",8,0.0045045045045045
"1004",101,"11",10,0.00527426160337553
"1014",111,"11",1,0.00058411214953271
"1024",121,"11",11,0.00593952483801296
"1034",131,"11",15,0.00827814569536424
"1044",141,"11",53,0.0299773755656109
"1054",151,"11",24,0.0132450331125828
"1064",161,"11",9,0.00507900677200903
"1074",171,"11",2,0.00111669458403127
"1084",181,"11",0,0
"1094",191,"11",2,0.00108754758020663
"1104",201,"11",0,0
"1114",211,"11",0,0
"1124",221,"11",0,0
"1134",231,"11",0,0
"1144",241,"11",0,0
"1154",251,"11",0,0
"1164",261,"11",0,0
"1174",271,"11",0,0
"1184",281,"11",0,0
"1194",291,"11",0,0
"1203",300,"11",0,0
"1205",1,"117",0,0
"1215",11,"117",0,0
"1225",21,"117",0,0
"1235",31,"117",0,0
"1245",41,"117",0,0
"1255",51,"117",0,0
"1265",61,"117",0,0
"1275",71,"117",0,0
"1285",81,"117",0,0
"1295",91,"117",0,0
"1305",101,"117",0,0
"1315",111,"117",0,0
"1325",121,"117",0,0
"1335",131,"117",0,0
"1345",141,"117",0,0
"1355",151,"117",0,0
"1365",161,"117",0,0
"1375",171,"117",0,0
"1385",181,"117",0,0
"1395",191,"117",0,0
"1405",201,"117",0,0
"1415",211,"117",0,0
"1425",221,"117",0,0
"1435",231,"117",0,0
"1445",241,"117",0,0
"1455",251,"117",0,0
"1465",261,"117",0,0
"1475",271,"117",0,0
"1485",281,"117",0,0
"1495",291,"117",0,0
"1504",300,"117",0,0
"1506",1,"1193",0,0
"1516",11,"1193",0,0
"1526",21,"1193",0,0
"1536",31,"1193",0,0
"1546",41,"1193",0,0
"1556",51,"1193",0,0
"1566",61,"1193",0,0
"1576",71,"1193",0,0
"1586",81,"1193",0,0
"1596",91,"1193",0,0
"1606",101,"1193",0,0
"1616",111,"1193",0,0
"1626",121,"1193",0,0
"1636",131,"1193",0,0
"1646",141,"1193",0,0
"1656",151,"1193",0,0
"1666",161,"1193",0,0
"1676",171,"1193",0,0
"1686",181,"1193",0,0
"1696",191,"1193",0,0
"1706",201,"1193",0,0
"1716",211,"1193",0,0
"1726",221,"1193",0,0
"1736",231,"1193",0,0
"1746",241,"1193",0,0
"1756",251,"1193",0,0
"1766",261,"1193",0,0
"1776",271,"1193",0,0
"1786",281,"1193",0,0
"1796",291,"1193",0,0
"1805",300,"1193",0,0
"1807",1,"12",0,0
"1817",11,"12",0,0
"1827",21,"12",0,0
"1837",31,"12",0,0
"1847",41,"12",0,0
"1857",51,"12",0,0
"1867",61,"12",0,0
"1877",71,"12",0,0
"1887",81,"12",0,0
"1897",91,"12",0,0
"1907",101,"12",0,0
"1917",111,"12",0,0
"1927",121,"12",0,0
"1937",131,"12",0,0
"1947",141,"12",0,0
"1957",151,"12",0,0
"1967",161,"12",0,0
"1977",171,"12",0,0
"1987",181,"12",0,0
"1997",191,"12",0,0
"2007",201,"12",0,0
"2017",211,"12",0,0
"2027",221,"12",0,0
"2037",231,"12",0,0
"2047",241,"12",0,0
"2057",251,"12",0,0
"2067",261,"12",0,0
"2077",271,"12",0,0
"2087",281,"12",0,0
"2097",291,"12",0,0
"2106",300,"12",0,0
"2108",1,"127",0,0
"2118",11,"127",0,0
"2128",21,"127",0,0
"2138",31,"127",0,0
"2148",41,"127",12,0.00666296501943365
"2158",51,"127",9,0.00484131253362023
"2168",61,"127",7,0.00397501419647927
"2178",71,"127",5,0.00296208530805687
"2188",81,"127",4,0.00212765957446809
"2198",91,"127",7,0.00394144144144144
"2208",101,"127",1,0.000527426160337553
"2218",111,"127",0,0
"2228",121,"127",0,0
"2238",131,"127",0,0
"2248",141,"127",0,0
"2258",151,"127",0,0
"2268",161,"127",0,0
"2278",171,"127",0,0
"2288",181,"127",0,0
"2298",191,"127",0,0
"2308",201,"127",0,0
"2318",211,"127",0,0
"2328",221,"127",0,0
"2338",231,"127",0,0
"2348",241,"127",0,0
"2358",251,"127",0,0
"2368",261,"127",0,0
"2378",271,"127",0,0
"2388",281,"127",0,0
"2398",291,"127",0,0
"2407",300,"127",0,0
"2409",1,"13",0,0
"2419",11,"13",0,0
"2429",21,"13",0,0
"2439",31,"13",0,0
"2449",41,"13",0,0
"2459",51,"13",0,0
"2469",61,"13",0,0
"2479",71,"13",0,0
"2489",81,"13",0,0
"2499",91,"13",0,0
"2509",101,"13",0,0
"2519",111,"13",0,0
"2529",121,"13",0,0
"2539",131,"13",0,0
"2549",141,"13",0,0
"2559",151,"13",0,0
"2569",161,"13",0,0
"2579",171,"13",0,0
"2589",181,"13",0,0
"2599",191,"13",0,0
"2609",201,"13",0,0
"2619",211,"13",0,0
"2629",221,"13",0,0
"2639",231,"13",0,0
"2649",241,"13",0,0
"2659",251,"13",0,0
"2669",261,"13",0,0
"2679",271,"13",0,0
"2689",281,"13",0,0
"2699",291,"13",0,0
"2708",300,"13",0,0
"2710",1,"131",0,0
"2720",11,"131",0,0
"2730",21,"131",0,0
"2740",31,"131",0,0
"2750",41,"131",0,0
"2760",51,"131",0,0
"2770",61,"131",0,0
"2780",71,"131",0,0
"2790",81,"131",0,0
"2800",91,"131",0,0
"2810",101,"131",0,0
"2820",111,"131",0,0
"2830",121,"131",0,0
"2840",131,"131",0,0
"2850",141,"131",0,0
"2860",151,"131",0,0
"2870",161,"131",0,0
"2880",171,"131",0,0
"2890",181,"131",0,0
"2900",191,"131",0,0
"2910",201,"131",0,0
"2920",211,"131",0,0
"2930",221,"131",0,0
"2940",231,"131",0,0
"2950",241,"131",0,0
"2960",251,"131",0,0
"2970",261,"131",0,0
"2980",271,"131",0,0
"2990",281,"131",0,0
"3000",291,"131",0,0
"3009",300,"131",0,0
"3011",1,"137",0,0
"3021",11,"137",0,0
"3031",21,"137",0,0
"3041",31,"137",0,0
"3051",41,"137",0,0
"3061",51,"137",0,0
"3071",61,"137",0,0
"3081",71,"137",0,0
"3091",81,"137",0,0
"3101",91,"137",0,0
"3111",101,"137",0,0
"3121",111,"137",0,0
"3131",121,"137",0,0
"3141",131,"137",0,0
"3151",141,"137",0,0
"3161",151,"137",0,0
"3171",161,"137",0,0
"3181",171,"137",0,0
"3191",181,"137",0,0
"3201",191,"137",0,0
"3211",201,"137",0,0
"3221",211,"137",0,0
"3231",221,"137",0,0
"3241",231,"137",0,0
"3251",241,"137",0,0
"3261",251,"137",0,0
"3271",261,"137",0,0
"3281",271,"137",0,0
"3291",281,"137",0,0
"3301",291,"137",0,0
"3310",300,"137",0,0
"3312",1,"1380",0,0
"3322",11,"1380",0,0
"3332",21,"1380",0,0
"3342",31,"1380",0,0
"3352",41,"1380",0,0
"3362",51,"1380",0,0
"3372",61,"1380",0,0
"3382",71,"1380",0,0
"3392",81,"1380",0,0
"3402",91,"1380",0,0
"3412",101,"1380",0,0
"3422",111,"1380",0,0
"3432",121,"1380",0,0
"3442",131,"1380",0,0
"3452",141,"1380",0,0
"3462",151,"1380",0,0
"3472",161,"1380",0,0
"3482",171,"1380",0,0
"3492",181,"1380",0,0
"3502",191,"1380",0,0
"3512",201,"1380",0,0
"3522",211,"1380",0,0
"3532",221,"1380",0,0
"3542",231,"1380",0,0
"3552",241,"1380",0,0
"3562",251,"1380",0,0
"3572",261,"1380",0,0
"3582",271,"1380",0,0
"3592",281,"1380",0,0
"3602",291,"1380",0,0
"3611",300,"1380",0,0
"3613",1,"141",0,0
"3623",11,"141",0,0
"3633",21,"141",0,0
"3643",31,"141",0,0
"3653",41,"141",3,0.00166574125485841
"3663",51,"141",2,0.00107584722969338
"3673",61,"141",0,0
"3683",71,"141",0,0
"3693",81,"141",0,0
"3703",91,"141",0,0
"3713",101,"141",0,0
"3723",111,"141",0,0
"3733",121,"141",0,0
"3743",131,"141",0,0
"3753",141,"141",0,0
"3763",151,"141",0,0
"3773",161,"141",0,0
"3783",171,"141",0,0
"3793",181,"141",0,0
"3803",191,"141",0,0
"3813",201,"141",0,0
"3823",211,"141",0,0
"3833",221,"141",0,0
"3843",231,"141",0,0
"3853",241,"141",0,0
"3863",251,"141",0,0
"3873",261,"141",0,0
"3883",271,"141",0,0
"3893",281,"141",0,0
"3903",291,"141",0,0
"3912",300,"141",0,0
"3914",1,"145",0,0
"3924",11,"145",0,0
"3934",21,"145",0,0
"3944",31,"145",0,0
"3954",41,"145",0,0
"3964",51,"145",0,0
"3974",61,"145",0,0
"3984",71,"145",0,0
"3994",81,"145",0,0
"4004",91,"145",0,0
"4014",101,"145",0,0
"4024",111,"145",0,0
"4034",121,"145",0,0
"4044",131,"145",0,0
"4054",141,"145",0,0
"4064",151,"145",0,0
"4074",161,"145",0,0
"4084",171,"145",0,0
"4094",181,"145",0,0
"4104",191,"145",0,0
"4114",201,"145",0,0
"4124",211,"145",0,0
"4134",221,"145",0,0
"4144",231,"145",0,0
"4154",241,"145",0,0
"4164",251,"145",0,0
"4174",261,"145",0,0
"4184",271,"145",0,0
"4194",281,"145",0,0
"4204",291,"145",0,0
"4213",300,"145",0,0
"4215",1,"148",0,0
"4225",11,"148",0,0
"4235",21,"148",0,0
"4245",31,"148",1,0.000546448087431694
"4255",41,"148",2,0.00111049416990561
"4265",51,"148",0,0
"4275",61,"148",0,0
"4285",71,"148",0,0
"4295",81,"148",0,0
"4305",91,"148",0,0
"4315",101,"148",0,0
"4325",111,"148",0,0
"4335",121,"148",0,0
"4345",131,"148",0,0
"4355",141,"148",0,0
"4365",151,"148",0,0
"4375",161,"148",0,0
"4385",171,"148",0,0
"4395",181,"148",0,0
"4405",191,"148",0,0
"4415",201,"148",0,0
"4425",211,"148",0,0
"4435",221,"148",0,0
"4445",231,"148",0,0
"4455",241,"148",0,0
"4465",251,"148",0,0
"4475",261,"148",0,0
"4485",271,"148",0,0
"4495",281,"148",0,0
"4505",291,"148",0,0
"4514",300,"148",0,0
"4516",1,"1503",0,0
"4526",11,"1503",0,0
"4536",21,"1503",0,0
"4546",31,"1503",0,0
"4556",41,"1503",0,0
"4566",51,"1503",0,0
"4576",61,"1503",0,0
"4586",71,"1503",0,0
"4596",81,"1503",0,0
"4606",91,"1503",0,0
"4616",101,"1503",0,0
"4626",111,"1503",0,0
"4636",121,"1503",0,0
"4646",131,"1503",0,0
"4656",141,"1503",0,0
"4666",151,"1503",0,0
"4676",161,"1503",0,0
"4686",171,"1503",0,0
"4696",181,"1503",0,0
"4706",191,"1503",0,0
"4716",201,"1503",0,0
"4726",211,"1503",0,0
"4736",221,"1503",0,0
"4746",231,"1503",0,0
"4756",241,"1503",0,0
"4766",251,"1503",0,0
"4776",261,"1503",0,0
"4786",271,"1503",0,0
"4796",281,"1503",0,0
"4806",291,"1503",0,0
"4815",300,"1503",0,0
"4817",1,"152",0,0
"4827",11,"152",0,0
"4837",21,"152",0,0
"4847",31,"152",0,0
"4857",41,"152",0,0
"4867",51,"152",0,0
"4877",61,"152",0,0
"4887",71,"152",0,0
"4897",81,"152",0,0
"4907",91,"152",0,0
"4917",101,"152",0,0
"4927",111,"152",0,0
"4937",121,"152",0,0
"4947",131,"152",0,0
"4957",141,"152",0,0
"4967",151,"152",0,0
"4977",161,"152",0,0
"4987",171,"152",0,0
"4997",181,"152",0,0
"5007",191,"152",0,0
"5017",201,"152",0,0
"5027",211,"152",0,0
"5037",221,"152",0,0
"5047",231,"152",0,0
"5057",241,"152",0,0
"5067",251,"152",0,0
"5077",261,"152",0,0
"5087",271,"152",0,0
"5097",281,"152",0,0
"5107",291,"152",0,0
"5116",300,"152",0,0
"5118",1,"154",0,0
"5128",11,"154",0,0
"5138",21,"154",0,0
"5148",31,"154",0,0
"5158",41,"154",1,0.000555247084952804
"5168",51,"154",0,0
"5178",61,"154",0,0
"5188",71,"154",0,0
"5198",81,"154",1,0.000531914893617021
"5208",91,"154",0,0
"5218",101,"154",0,0
"5228",111,"154",0,0
"5238",121,"154",0,0
"5248",131,"154",0,0
"5258",141,"154",0,0
"5268",151,"154",0,0
"5278",161,"154",0,0
"5288",171,"154",0,0
"5298",181,"154",0,0
"5308",191,"154",0,0
"5318",201,"154",0,0
"5328",211,"154",0,0
"5338",221,"154",0,0
"5348",231,"154",0,0
"5358",241,"154",0,0
"5368",251,"154",0,0
"5378",261,"154",0,0
"5388",271,"154",0,0
"5398",281,"154",0,0
"5408",291,"154",0,0
"5417",300,"154",0,0
"5419",1,"155",0,0
"5429",11,"155",0,0
"5439",21,"155",0,0
"5449",31,"155",0,0
"5459",41,"155",3,0.00166574125485841
"5469",51,"155",3,0.00161377084454008
"5479",61,"155",1,0.00056785917092561
"5489",71,"155",2,0.00118483412322275
"5499",81,"155",1,0.000531914893617021
"5509",91,"155",0,0
"5519",101,"155",0,0
"5529",111,"155",0,0
"5539",121,"155",0,0
"5549",131,"155",0,0
"5559",141,"155",0,0
"5569",151,"155",0,0
"5579",161,"155",0,0
"5589",171,"155",0,0
"5599",181,"155",0,0
"5609",191,"155",0,0
"5619",201,"155",0,0
"5629",211,"155",0,0
"5639",221,"155",0,0
"5649",231,"155",0,0
"5659",241,"155",0,0
"5669",251,"155",0,0
"5679",261,"155",0,0
"5689",271,"155",0,0
"5699",281,"155",0,0
"5709",291,"155",0,0
"5718",300,"155",0,0
"5720",1,"16",0,0
"5730",11,"16",0,0
"5740",21,"16",0,0
"5750",31,"16",0,0
"5760",41,"16",0,0
"5770",51,"16",0,0
"5780",61,"16",0,0
"5790",71,"16",0,0
"5800",81,"16",0,0
"5810",91,"16",0,0
"5820",101,"16",0,0
"5830",111,"16",0,0
"5840",121,"16",0,0
"5850",131,"16",0,0
"5860",141,"16",0,0
"5870",151,"16",0,0
"5880",161,"16",0,0
"5890",171,"16",0,0
"5900",181,"16",0,0
"5910",191,"16",0,0
"5920",201,"16",0,0
"5930",211,"16",0,0
"5940",221,"16",0,0
"5950",231,"16",0,0
"5960",241,"16",0,0
"5970",251,"16",0,0
"5980",261,"16",0,0
"5990",271,"16",0,0
"6000",281,"16",0,0
"6010",291,"16",0,0
"6019",300,"16",0,0
"6021",1,"162",0,0
"6031",11,"162",0,0
"6041",21,"162",0,0
"6051",31,"162",0,0
"6061",41,"162",1,0.000555247084952804
"6071",51,"162",2,0.00107584722969338
"6081",61,"162",8,0.00454287336740488
"6091",71,"162",7,0.00414691943127962
"6101",81,"162",12,0.00638297872340425
"6111",91,"162",5,0.00281531531531532
"6121",101,"162",1,0.000527426160337553
"6131",111,"162",0,0
"6141",121,"162",0,0
"6151",131,"162",3,0.00165562913907285
"6161",141,"162",10,0.00565610859728507
"6171",151,"162",0,0
"6181",161,"162",5,0.00282167042889391
"6191",171,"162",15,0.00837520938023451
"6201",181,"162",2,0.00116144018583043
"6211",191,"162",13,0.00706905927134312
"6221",201,"162",17,0.00947075208913649
"6231",211,"162",15,0.00821467688937568
"6241",221,"162",8,0.00437397484964461
"6251",231,"162",18,0.0109024833434282
"6261",241,"162",11,0.00585106382978723
"6271",251,"162",3,0.00171919770773639
"6281",261,"162",28,0.0147835269271383
"6291",271,"162",14,0.0072992700729927
"6301",281,"162",8,0.00441257584114727
"6311",291,"162",1,0.000552791597567717
"6320",300,"162",5,0.0026581605528974
"6322",1,"17",0,0
"6332",11,"17",0,0
"6342",21,"17",0,0
"6352",31,"17",0,0
"6362",41,"17",3,0.00166574125485841
"6372",51,"17",0,0
"6382",61,"17",0,0
"6392",71,"17",0,0
"6402",81,"17",0,0
"6412",91,"17",0,0
"6422",101,"17",0,0
"6432",111,"17",0,0
"6442",121,"17",0,0
"6452",131,"17",0,0
"6462",141,"17",0,0
"6472",151,"17",0,0
"6482",161,"17",0,0
"6492",171,"17",0,0
"6502",181,"17",0,0
"6512",191,"17",0,0
"6522",201,"17",0,0
"6532",211,"17",0,0
"6542",221,"17",0,0
"6552",231,"17",0,0
"6562",241,"17",0,0
"6572",251,"17",0,0
"6582",261,"17",0,0
"6592",271,"17",0,0
"6602",281,"17",0,0
"6612",291,"17",0,0
"6621",300,"17",0,0
"6623",1,"1804",0,0
"6633",11,"1804",0,0
"6643",21,"1804",0,0
"6653",31,"1804",0,0
"6663",41,"1804",0,0
"6673",51,"1804",0,0
"6683",61,"1804",0,0
"6693",71,"1804",0,0
"6703",81,"1804",0,0
"6713",91,"1804",0,0
"6723",101,"1804",0,0
"6733",111,"1804",0,0
"6743",121,"1804",0,0
"6753",131,"1804",0,0
"6763",141,"1804",0,0
"6773",151,"1804",0,0
"6783",161,"1804",0,0
"6793",171,"1804",0,0
"6803",181,"1804",0,0
"6813",191,"1804",0,0
"6823",201,"1804",0,0
"6833",211,"1804",0,0
"6843",221,"1804",0,0
"6853",231,"1804",0,0
"6863",241,"1804",0,0
"6873",251,"1804",0,0
"6883",261,"1804",0,0
"6893",271,"1804",0,0
"6903",281,"1804",0,0
"6913",291,"1804",0,0
"6922",300,"1804",0,0
"6924",1,"1819",0,0
"6934",11,"1819",0,0
"6944",21,"1819",0,0
"6954",31,"1819",0,0
"6964",41,"1819",0,0
"6974",51,"1819",0,0
"6984",61,"1819",1,0.00056785917092561
"6994",71,"1819",2,0.00118483412322275
"7004",81,"1819",9,0.00478723404255319
"7014",91,"1819",7,0.00394144144144144
"7024",101,"1819",0,0
"7034",111,"1819",1,0.00058411214953271
"7044",121,"1819",0,0
"7054",131,"1819",2,0.0011037527593819
"7064",141,"1819",33,0.0186651583710407
"7074",151,"1819",40,0.022075055187638
"7084",161,"1819",36,0.0203160270880361
"7094",171,"1819",18,0.0100502512562814
"7104",181,"1819",8,0.00464576074332172
"7114",191,"1819",20,0.0108754758020663
"7124",201,"1819",9,0.00501392757660167
"7134",211,"1819",0,0
"7144",221,"1819",0,0
"7154",231,"1819",0,0
"7164",241,"1819",0,0
"7174",251,"1819",0,0
"7184",261,"1819",0,0
"7194",271,"1819",0,0
"7204",281,"1819",0,0
"7214",291,"1819",0,0
"7223",300,"1819",0,0
"7225",1,"182",0,0
"7235",11,"182",0,0
"7245",21,"182",0,0
"7255",31,"182",0,0
"7265",41,"182",0,0
"7275",51,"182",0,0
"7285",61,"182",0,0
"7295",71,"182",0,0
"7305",81,"182",0,0
"7315",91,"182",0,0
"7325",101,"182",0,0
"7335",111,"182",0,0
"7345",121,"182",0,0
"7355",131,"182",0,0
"7365",141,"182",0,0
"7375",151,"182",0,0
"7385",161,"182",0,0
"7395",171,"182",0,0
"7405",181,"182",0,0
"7415",191,"182",0,0
"7425",201,"182",0,0
"7435",211,"182",0,0
"7445",221,"182",0,0
"7455",231,"182",0,0
"7465",241,"182",0,0
"7475",251,"182",0,0
"7485",261,"182",0,0
"7495",271,"182",0,0
"7505",281,"182",0,0
"7515",291,"182",0,0
"7524",300,"182",0,0
"7526",1,"20",0,0
"7536",11,"20",0,0
"7546",21,"20",0,0
"7556",31,"20",0,0
"7566",41,"20",0,0
"7576",51,"20",0,0
"7586",61,"20",0,0
"7596",71,"20",0,0
"7606",81,"20",0,0
"7616",91,"20",0,0
"7626",101,"20",0,0
"7636",111,"20",0,0
"7646",121,"20",0,0
"7656",131,"20",0,0
"7666",141,"20",0,0
"7676",151,"20",0,0
"7686",161,"20",0,0
"7696",171,"20",0,0
"7706",181,"20",0,0
"7716",191,"20",0,0
"7726",201,"20",0,0
"7736",211,"20",0,0
"7746",221,"20",0,0
"7756",231,"20",0,0
"7766",241,"20",0,0
"7776",251,"20",0,0
"7786",261,"20",0,0
"7796",271,"20",0,0
"7806",281,"20",0,0
"7816",291,"20",0,0
"7825",300,"20",0,0
"7827",1,"200",0,0
"7837",11,"200",0,0
"7847",21,"200",0,0
"7857",31,"200",0,0
"7867",41,"200",1,0.000555247084952804
"7877",51,"200",0,0
"7887",61,"200",3,0.00170357751277683
"7897",71,"200",0,0
"7907",81,"200",4,0.00212765957446809
"7917",91,"200",2,0.00112612612612613
"7927",101,"200",7,0.00369198312236287
"7937",111,"200",14,0.00817757009345794
"7947",121,"200",2,0.00107991360691145
"7957",131,"200",14,0.00772626931567329
"7967",141,"200",24,0.0135746606334842
"7977",151,"200",25,0.0137969094922737
"7987",161,"200",17,0.00959367945823928
"7997",171,"200",35,0.0195421552205472
"8007",181,"200",44,0.0255516840882695
"8017",191,"200",29,0.0157694399129962
"8027",201,"200",5,0.00278551532033426
"8037",211,"200",18,0.00985761226725082
"8047",221,"200",33,0.018042646254784
"8057",231,"200",18,0.0109024833434282
"8067",241,"200",22,0.0117021276595745
"8077",251,"200",37,0.0212034383954155
"8087",261,"200",46,0.0242872228088701
"8097",271,"200",35,0.0182481751824818
"8107",281,"200",40,0.0220628792057363
"8117",291,"200",67,0.037037037037037
"8126",300,"200",91,0.0483785220627326
"8128",1,"206",0,0
"8138",11,"206",0,0
"8148",21,"206",0,0
"8158",31,"206",0,0
"8168",41,"206",0,0
"8178",51,"206",0,0
"8188",61,"206",0,0
"8198",71,"206",0,0
"8208",81,"206",0,0
