Country name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,1.3,1.3,1.47,1.30,1.31,1.20,1.23,1.04,0.73,0.57,0.52,0.57
Belgium,2.7,2.8,2.64,2.55,2.57,2.40,2.17,1.16,0.57,0.46,0.45,0.47
Bulgaria,2.3,2.4,2.52,2.87,2.83,2.78,2.86,2.83,2.76,3.35,3.92,3.35
Croatia,1.3,1.5,1.47,1.50,1.50,1.49,1.50,1.48,1.36,1.22,1.44,1.50
Cyprus,3.8*,3.5*,,,,,,,,,,
Czechia,1.1,1.1,0.85,0.88,0.88,,,,,,0.48,0.48
Denmark,0.6,0.6,0.52,0.50,0.49,0.48,0.44,0.41,0.37,0.33,0.32,0.34
Estonia,0.8,0.9,0.89,0.90,0.92,0.85,0.79,0.75,0.65,0.72,0.59,0.61
Finland,0.9,0.9,0.84,0.82,0.73,0.74,0.67,0.62,0.47,0.39,0.36,0.38
France,1.8,1.9,1.84,1.75,1.60,1.51,1.37,1.30,1.21,1.09,0.99,1.15
Germany,1.5,1.4,1.42,1.34,1.33,1.24,1.11,0.96,0.63,0.49,0.43,0.48
Greece,2.6,2.4,2.06,2.56,2.64,2.61,2.60,2.94,3.04,2.61,2.16,3.20
Hungary,1.9,2.0,2.11,2.43,2.71,2.38,2.40,2.31,1.93,1.41,1.42,1.66
Iceland,1.1*,1.0*,,0.88,0.92,0.92,0.82,0.83,0.57,0.49,0.45,0.45
Ireland,0.9,0.9,0.87,0.84,0.92,0.87,0.81,0.76,0.55,0.42,0.38,0.39
Italy,3.5,3.5,3.55,3.41,3.37,3.23,2.68,2.65,1.99,1.67,1.62,1.80
Latvia,1.0,1.0,1.06,1.05,1.05,1.05,1.03,0.96,0.85,0.77,0.71,0.79
Lithuania,1.2*,1.0,0.96,0.91,0.91,0.88,0.87,0.88,0.82,0.73,0.66,0.76
Luxembourg,2.8,2.8,2.65,2.57,2.48,2.41,2.77,2.05,1.57,1.27,1.26,1.35
Malta,1.9,2.0,2.92,3.06,2.64,2.37,2.18,2.27,1.89,1.36,1.31,1.67
Netherlands,0.8,0.8,0.76,0.79,0.77,0.75,0.73,0.73,0.67,0.64,0.64,0.67
Norway,0.6,0.6,0.54,0.50,0.46,0.41,0.35,0.32,0.28,0.24,0.22,0.21
Poland,1.2†,1.2,1.18,1.21,1.40,1.42,1.49,1.48,1.35,1.15,1.27,1.32
Portugal,2.7,2.5,2.18,2.12,2.05,1.92,1.75,1.71,1.54,1.21,1.17,1.30
Romania,3.4*,3.4*,,,,,,,3.12,2.96,3.17,3.30
Slovakia,2.5*,2.0,2.18,0.63,2.40,2.26,2.12,2.07,1.47,1.14,1.17,1.31
Slovenia,1.1,1.1,1.10,1.11,1.16,1.14,1.11,1.11,0.99,0.84,0.85,0.90
Spain,2.6†,2.5†,2.36†,2.31†,2.35†,2.90,2.82,2.70,2.30,1.78,1.72,1.99
Sweden,0.8,0.7,0.71,0.69,0.68,0.66,0.63,0.61,0.56,0.49,0.49,0.52
EU/EEA* ,1.8,1.8,1.85,1.80,1.81,1.72,1.57,1.48,1.21,1.03,1.00,1.11
United Kingdom,0.4,0.4,0.49,0.48,0.46,0.44,0.45,0.44,0.39,,,